Split,RTA,Loadless,Loads
Mission 1,0:01:52.717000,0:00:30.454670,82 days, 6:17:45.312000
Wave Ocean,0:05:12.014000,0:03:01.221670,130 days, 19:00:57.312000
Egg Cerberus,0:07:26.611000,0:04:15.739670,190 days, 20:54:42.912000
Dusty Desert,0:09:15.228000,0:05:39.505670,215 days, 17:20:09.312000
Silver,0:10:29.760000,0:06:22.803670,246 days, 22:57:06.912000
Mission 5,0:11:40.592000,0:06:36.704670,303 days, 21:17:45.312000
Mission 11,0:13:37.649000,0:07:49.343670,348 days, 7:19:40.512000
Mission 12,0:15:18.531000,0:08:37.272670,401 days, 6:11:59.712000
White Acropolis,0:17:44.355000,0:10:15.596670,448 days, 18:11:59.712000
Crisis City,0:22:39.174000,0:14:02.982670,516 days, 4:35:30.912000
Flame Core,0:26:18.343000,0:17:00.551670,557 days, 18:59:30.912000
Iblis Phase 2,0:29:37.572000,0:19:39.215670,598 days, 8:33:06.912000
Radical Train,0:32:59.856000,0:22:00.302670,659 days, 13:16:47.712000
Egg Genesis,0:34:55.614000,0:23:24.060670,691 days, 13:16:47.712000
Tropical Jungle,0:37:55.077000,0:25:40.574670,734 days, 12:03:21.312000
Tails Wave Ocean,0:40:19.343000,0:27:23.708670,775 days, 15:13:26.112000
Mission 18,0:41:56.055000,0:27:58.442670,837 days, 14:41:45.312000
Mission 19,0:43:23.994000,0:28:49.632670,874 days, 8:40:18.912000
Mission 20,0:44:21.817000,0:29:11.808670,910 days, 0:11:59.712000
Kingdom Valley,0:49:54.221000,0:33:25.066670,989 days, 3:42:14.112000
Aquatic Base,0:54:37.619000,0:36:57.965670,1059 days, 15:40:47.712000
Egg Wyvern,0:55:04.965000,0:37:04.878670,1080 days, 2:04:18.912000
